match_id,inning,batting_team,bowling_team,over,runs,wickets,winner
1,1,SRH,RCB,1,7,0,SRH
1,1,SRH,RCB,2,16,1,SRH
1,1,SRH,RCB,3,6,0,SRH
1,1,SRH,RCB,4,4,0,SRH
1,1,SRH,RCB,5,9,0,SRH
1,1,SRH,RCB,6,17,0,SRH
1,1,SRH,RCB,7,5,0,SRH
1,1,SRH,RCB,8,11,0,SRH
1,1,SRH,RCB,9,9,0,SRH
1,1,SRH,RCB,10,4,0,SRH
1,1,SRH,RCB,11,10,1,SRH
1,1,SRH,RCB,12,8,0,SRH
1,1,SRH,RCB,13,18,0,SRH
1,1,SRH,RCB,14,8,0,SRH
1,1,SRH,RCB,15,19,0,SRH
1,1,SRH,RCB,16,4,1,SRH
1,1,SRH,RCB,17,7,0,SRH
1,1,SRH,RCB,18,17,0,SRH
1,1,SRH,RCB,19,12,1,SRH
1,1,SRH,RCB,20,16,0,SRH
1,2,RCB,SRH,1,11,0,SRH
1,2,RCB,SRH,2,1,0,SRH
1,2,RCB,SRH,3,16,0,SRH
1,2,RCB,SRH,4,15,0,SRH
1,2,RCB,SRH,5,5,0,SRH
1,2,RCB,SRH,6,6,1,SRH
1,2,RCB,SRH,7,7,1,SRH
1,2,RCB,SRH,8,13,0,SRH
1,2,RCB,SRH,9,11,0,SRH
1,2,RCB,SRH,10,13,0,SRH
1,2,RCB,SRH,11,13,0,SRH
1,2,RCB,SRH,12,7,1,SRH
1,2,RCB,SRH,13,8,1,SRH
1,2,RCB,SRH,14,4,1,SRH
1,2,RCB,SRH,15,9,0,SRH
1,2,RCB,SRH,16,12,0,SRH
1,2,RCB,SRH,17,3,1,SRH
1,2,RCB,SRH,18,2,2,SRH
1,2,RCB,SRH,19,9,1,SRH
1,2,RCB,SRH,20,7,1,SRH
2,1,MI,SRH,1,11,0,PWs
2,1,MI,PW,2,8,0,PWs
2,1,MI,PW,3,9,0,PWs
2,1,MI,PW,4,13,0,PWs
2,1,MI,PW,5,7,1,PWs
2,1,MI,PW,6,13,0,PWs
2,1,MI,PW,7,2,2,PWs
2,1,MI,PW,8,3,0,PWs
2,1,MI,PW,9,10,0,PWs
2,1,MI,PW,10,6,0,PWs
2,1,MI,PW,11,10,0,PWs
2,1,MI,PW,12,3,1,PWs
2,1,MI,PW,13,11,0,PWs
2,1,MI,PW,14,5,1,PWs
2,1,MI,PW,15,9,0,PWs
2,1,MI,PW,16,7,1,PWs
2,1,MI,PW,17,10,0,PWs
2,1,MI,PW,18,8,0,PWs
2,1,MI,PW,19,9,1,PWs
2,1,MI,PW,20,30,1,PWs
2,2,PW,MI,1,8,0,PWs
2,2,PW,MI,2,15,0,PWs
2,2,PW,MI,3,12,0,PWs
2,2,PW,MI,4,4,1,PWs
2,2,PW,MI,5,4,0,PWs
2,2,PW,MI,6,16,0,PWs
2,2,PW,MI,7,4,0,PWs
2,2,PW,MI,8,10,0,PWs
2,2,PW,MI,9,9,0,PWs
2,2,PW,MI,10,11,0,PWs
2,2,PW,MI,11,4,1,PWs
2,2,PW,MI,12,8,0,PWs
2,2,PW,MI,13,9,0,PWs
2,2,PW,MI,14,15,0,PWs
2,2,PW,MI,15,10,0,PWs
2,2,PW,MI,16,9,1,PWs
2,2,PW,MI,17,10,0,PWs
2,2,PW,MI,18,7,0,PWs
2,2,PW,MI,19,7,0,PWs
2,2,PW,MI,20,15,0,PWs
3,1,GL,KKR,1,8,0,KKR
3,1,GL,KKR,2,8,0,KKR
3,1,GL,KKR,3,6,0,KKR
3,1,GL,KKR,4,7,1,KKR
3,1,GL,KKR,5,11,0,KKR
3,1,GL,KKR,6,12,0,KKR
3,1,GL,KKR,7,12,0,KKR
3,1,GL,KKR,8,8,0,KKR
3,1,GL,KKR,9,4,1,KKR
3,1,GL,KKR,10,15,0,KKR
3,1,GL,KKR,11,4,1,KKR
3,1,GL,KKR,12,7,0,KKR
3,1,GL,KKR,13,7,0,KKR
3,1,GL,KKR,14,7,0,KKR
3,1,GL,KKR,15,9,0,KKR
3,1,GL,KKR,16,5,0,KKR
3,1,GL,KKR,17,11,0,KKR
3,1,GL,KKR,18,12,0,KKR
3,1,GL,KKR,19,16,0,KKR
3,1,GL,KKR,20,14,1,KKR
3,2,KKR,GL,1,7,0,KKR
3,2,KKR,GL,2,13,0,KKR
3,2,KKR,GL,3,17,0,KKR
3,2,KKR,GL,4,9,0,KKR
3,2,KKR,GL,5,7,0,KKR
3,2,KKR,GL,6,20,0,KKR
3,2,KKR,GL,7,23,0,KKR
3,2,KKR,GL,8,7,0,KKR
3,2,KKR,GL,9,6,0,KKR
3,2,KKR,GL,10,7,0,KKR
3,2,KKR,GL,11,15,0,KKR
