batting_team,total
RCB,263
KKR,250
RCB,248
CSK,246
KKR,241
CSK,240
RCB,235
SRH,233
KXIP,232
SRH,232
DD,231
KXIP,231
RR,231
KXIP,230
MI,230
RCB,227
KXIP,226
RCB,226
MI,223
RR,223
CSK,223
DD,223
KKR,223
KKR,222
CSK,222
RCB,222
KXIP,221
KXIP,221
DD,219
KKR,219
KKR,219
RCB,219
MI,218
CSK,218
CSK,218
RR,217
MI,217
RCB,215
DD,214
DC,214
RCB,213
RCB,213
RCB,213
MI,212
MI,212
CSK,212
RR,211
RR,211
KXIP,211
RCB,211
SRH,211
CSK,210
RCB,210
MI,210
SRH,209
MI,209
CSK,209
MI,209
SRH,209
GL,208
CSK,208
RR,208
CSK,208
SRH,208
SRH,207
SRH,207
KXIP,207
DD,207
KKR,207
KXIP,206
MI,206
CSK,206
KKR,206
DD,206
DD,205
RCB,205
CSK,205
RCB,205
CSK,205
SRH,205
KKR,204
RCB,204
KXIP,204
MI,204
RCB,204
KXIP,204
MI,204
KXIP,203
DD,203
RR,203
MI,202
KXIP,202
CSK,202
MI,202
CSK,201
RR,201
SRH,201
KXIP,201
KKR,200
CSK,200
KKR,200
RCB,200
RCB,200
KKR,200
KXIP,200
MI,199
KXIP,199
RR,199
KXIP,198
DC,198
KXIP,198
KXIP,198
RCB,198
DD,197
RR,197
MI,197
RR,197
DD,197
MI,197
MI,197
RR,196
CSK,196
DC,196
MI,196
GL,196
KXIP,196
RR,196
GL,195
CSK,195
KXIP,195
RR,195
KKR,195
MI,195
PW,195
RCB,195
DD,194
KXIP,194
DD,194
MI,194
KXIP,194
RR,194
SRH,194
DD,194
KXIP,193
CSK,193
DD,193
KXIP,193
KXIP,193
SRH,193
KKR,193
DD,193
GL,192
GL,192
RR,192
KXIP,192
PW,192
KKR,192
CSK,192
CSK,192
SRH,192
DD,192
KKR,192
SRH,192
KXIP,192
RR,192
KKR,192
SRH,191
DD,191
MI,191
RR,191
RR,191
RR,191
RCB,191
KXIP,191
RR,191
RCB,191
PW,191
SRH,191
MI,191
DC,190
CSK,190
DD,190
KKR,190
DC,190
CSK,190
RCB,190
RCB,190
DD,190
KKR,190
KKR,190
DD,190
KXIP,190
KXIP,190
DD,189
KXIP,189
KXIP,189
DD,189
KKR,189
RCB,189
SRH,189
RR,189
CSK,189
RR,189
MI,189
KKR,189
SRH,189
DD,189
DD,188
GL,188
KXIP,188
CSK,188
MI,188
CSK,188
DD,188
CSK,188
MI,188
CSK,188
DD,188
KXIP,188
PW,187
KKR,187
DD,187
MI,187
PW,187
DC,187
CSK,187
RCB,187
MI,187
CSK,187
MI,187
DD,187
MI,187
KKR,187
MI,187
CSK,187
KKR,187
MI,187
RCB,187
DC,186
RCB,186
DC,186
KXIP,186
CSK,186
KKR,186
CSK,186
RCB,186
RR,186
DD,186
RCB,186
DD,186
CSK,186
DD,186
SRH,186
RCB,186
CSK,186
KXIP,186
SRH,185
CSK,185
DD,185
RCB,185
RCB,185
PW,185
RR,185
CSK,185
SRH,185
RCB,185
RCB,185
RCB,185
MI,185
KXIP,185
CSK,185
KKR,185
MI,184
KKR,184
KKR,184
DC,184
RCB,184
DD,184
RCB,184
MI,184
DC,184
MI,184
SRH,184
DD,184
KKR,184
KKR,184
CSK,184
KXIP,184
GL,183
RR,183
KKR,183
DD,183
MI,183
CSK,183
MI,183
RCB,183
KXIP,183
MI,183
KXIP,183
KKR,183
SRH,183
DD,183
KKR,183
PW,182
KXIP,182
DC,182
MI,182
PW,182
MI,182
RR,182
SRH,182
GL,182
RCB,182
MI,182
CSK,182
RR,182
KXIP,181
RCB,181
CSK,181
DC,181
MI,181
KKR,181
KXIP,181
KKR,181
RCB,181
KXIP,181
DC,181
CSK,181
CSK,181
KXIP,181
CSK,181
RR,181
MI,180
RR,180
CSK,180
CSK,180
KKR,180
DD,180
KXIP,180
RCB,180
RCB,180
SRH,180
RCB,180
SRH,180
MI,180
RR,180
KKR,180
KXIP,180
RR,180
PW,179
DD,179
CSK,179
DD,179
RR,179
DD,179
KXIP,179
RCB,179
RR,179
RCB,179
KXIP,179
KKR,179
SRH,179
MI,179
RCB,179
SRH,179
SRH,179
KKR,178
CSK,178
KXIP,178
MI,178
KXIP,178
CSK,178
MI,178
DC,178
MI,178
DC,178
MI,178
PW,178
SRH,178
DD,178
MI,178
MI,178
MI,177
RR,177
DD,177
CSK,177
DC,177
RR,177
CSK,177
KKR,177
KXIP,177
SRH,177
KKR,177
MI,177
DD,177
GL,176
DD,176
SRH,176
MI,176
RCB,176
CSK,176
KXIP,176
CSK,176
SRH,176
CSK,176
CSK,176
MI,176
MI,176
RCB,176
DC,175
KKR,175
DC,175
RCB,175
DC,175
KKR,175
RCB,175
DD,175
RCB,175
RR,175
KXIP,175
RCB,175
KXIP,174
KXIP,174
MI,174
KXIP,174
MI,174
MI,174
RCB,174
KKR,174
KXIP,174
RR,174
RR,174
RR,174
RR,174
MI,174
KXIP,174
MI,173
KXIP,173
KKR,173
DD,173
PW,173
CSK,173
RCB,173
MI,173
RR,173
MI,173
MI,173
PW,173
GL,173
RCB,173
RCB,173
RCB,172
GL,172
KKR,172
DD,172
MI,172
MI,172
DD,172
PW,172
SRH,172
SRH,172
MI,172
PW,172
GL,172
DD,172
KXIP,172
MI,172
DD,172
MI,172
CSK,172
CSK,172
KKR,171
PW,171
RCB,171
DC,171
RCB,171
KKR,171
MI,171
RCB,171
KXIP,171
RCB,171
KXIP,171
KKR,171
MI,171
MI,171
DD,171
KKR,171
DD,171
MI,171
SRH,171
KXIP,170
RCB,170
DC,170
KXIP,170
RR,170
MI,170
KXIP,170
RR,170
KXIP,170
PW,170
MI,170
PW,170
MI,170
RR,170
DD,170
KKR,170
CSK,170
RCB,170
SRH,170
MI,170
KKR,170
MI,170
DD,170
KKR,169
CSK,169
KKR,169
DC,169
KXIP,169
KKR,169
CSK,169
MI,169
KKR,169
DD,169
MI,169
SRH,169
DD,168
DD,168
RR,168
RCB,168
DC,168
DC,168
RR,168
CSK,168
DC,168
KXIP,168
CSK,168
KXIP,168
RCB,168
MI,168
KXIP,168
KKR,168
CSK,168
RR,168
KXIP,168
PW,167
KXIP,167
KXIP,167
DD,167
DD,167
DD,167
KKR,167
SRH,167
RR,167
RCB,166
KXIP,166
DC,166
DC,166
DD,166
RCB,166
KXIP,166
PW,166
RCB,166
CSK,166
MI,166
KKR,166
RCB,166
RCB,166
KKR,166
PW,166
KKR,166
DD,166
MI,165
MI,165
RCB,165
DC,165
MI,165
CSK,165
MI,165
CSK,165
DC,165
CSK,165
KKR,165
RR,165
DD,165
RCB,165
DD,165
RR,165
KXIP,165
RCB,165
RR,165
CSK,165
KXIP,165
RR,165
CSK,165
RCB,165
SRH,165
KXIP,164
KKR,164
DC,164
RR,164
CSK,164
CSK,164
KXIP,164
MI,164
MI,164
RR,164
CSK,164
KXIP,164
DD,164
DD,164
CSK,164
DD,164
SRH,164
MI,164
GL,164
DD,164
KXIP,164
KKR,164
GL,164
KXIP,164
RCB,164
DD,164
CSK,164
CSK,164
DD,164
KKR,164
PW,163
KXIP,163
CSK,163
CSK,163
KXIP,163
KKR,163
KXIP,163
KXIP,163
MI,163
KXIP,163
MI,163
KKR,163
KKR,163
RR,163
KKR,163
SRH,163
SRH,163
PW,163
SRH,163
RCB,163
KKR,163
DD,163
GL,162
RCB,162
PW,162
KXIP,162
MI,162
CSK,162
RCB,162
RCB,162
RCB,162
DD,162
RR,162
KKR,162
MI,162
RCB,162
RR,162
CSK,162
GL,162
KKR,162
DD,162
SRH,162
GL,162
CSK,162
PW,161
KKR,161
KKR,161
GL,161
PW,161
RCB,161
DC,161
KKR,161
DD,161
RCB,161
DC,161
RCB,161
MI,161
SRH,161
KKR,161
SRH,161
KKR,161
CSK,161
KXIP,161
MI,161
DD,161
KXIP,161
RR,161
PW,160
DD,160
RCB,160
KKR,160
CSK,160
KKR,160
KKR,160
DD,160
MI,160
KXIP,160
CSK,160
CSK,160
DD,160
CSK,160
KKR,160
DD,160
CSK,160
MI,160
RCB,160
CSK,160
SRH,160
PW,160
RR,160
MI,159
SRH,159
KKR,159
RR,159
CSK,159
RR,159
RR,159
MI,159
PW,159
PW,159
KKR,159
SRH,159
MI,159
MI,159
KKR,159
MI,159
KKR,159
PW,159
RCB,159
MI,159
SRH,158
PW,158
RCB,158
SRH,158
DD,158
MI,158
DD,158
KXIP,158
DC,158
KXIP,158
DD,158
RCB,158
KKR,158
RCB,158
RCB,158
DD,158
DD,158
CSK,158
KKR,158
SRH,158
GL,158
KXIP,158
SRH,158
RR,158
RCB,157
MI,157
PW,157
DD,157
MI,157
DC,157
DC,157
RR,157
DD,157
RCB,157
DC,157
KXIP,157
MI,157
MI,157
SRH,157
RR,157
MI,157
DD,157
CSK,157
KXIP,157
KXIP,157
CSK,157
CSK,157
DD,156
CSK,156
RCB,156
MI,156
MI,156
CSK,156
DC,156
PW,156
KXIP,156
RCB,156
RR,156
KKR,156
KXIP,156
CSK,156
RR,156
SRH,155
KKR,155
DC,155
RCB,155
KKR,155
PW,155
CSK,155
KKR,155
RR,155
SRH,155
KXIP,155
MI,155
SRH,155
SRH,155
DD,155
KXIP,154
GL,154
MI,154
RCB,154
KXIP,154
KKR,154
DC,154
MI,154
DC,154
KKR,154
MI,154
KKR,154
DD,154
CSK,154
RCB,154
RCB,154
MI,154
KXIP,154
DD,154
RCB,154
GL,153
MI,153
KKR,153
DC,153
DC,153
KKR,153
DD,153
KXIP,153
CSK,153
DD,153
KKR,153
RR,153
MI,153
MI,153
KXIP,153
MI,153
CSK,152
KXIP,152
RR,152
DD,152
CSK,152
DD,152
DD,152
RCB,152
KKR,152
RR,152
KKR,152
RR,152
DD,152
DD,152
PW,152
SRH,152
KXIP,152
MI,152
DD,151
KKR,151
CSK,151
MI,151
RR,151
DC,151
KKR,151
DD,151
PW,151
RCB,151
PW,151
RR,151
RCB,151
KKR,151
KXIP,150
RR,150
KKR,150
RR,150
DD,150
DD,150
RCB,150
DD,150
DC,150
DC,150
KKR,150
KKR,150
SRH,150
KKR,150
KKR,150
CSK,150
SRH,150
DD,150
DD,150
RR,150
RR,150
KKR,149
RCB,149
MI,149
RCB,149
RCB,149
DC,149
CSK,149
CSK,149
MI,149
KXIP,149
PW,149
KXIP,149
CSK,149
DD,149
KXIP,149
GL,149
SRH,149
KXIP,149
RCB,148
PW,148
DC,148
CSK,148
DC,148
MI,148
DC,148
DC,148
KKR,148
MI,148
DD,148
MI,148
PW,148
MI,148
RCB,148
CSK,148
RR,148
CSK,148
RR,148
DD,148
SRH,148
KKR,147
KKR,147
DC,147
RR,147
MI,147
RCB,147
RR,147
RR,147
KKR,147
RCB,147
CSK,147
RR,147
KKR,147
GL,147
KKR,147
CSK,147
RR,146
CSK,146
CSK,146
DD,146
MI,146
DC,146
DD,146
RR,146
RR,146
PW,146
RR,146
SRH,146
RCB,146
CSK,146
KKR,146
DD,146
KKR,146
SRH,146
SRH,146
RCB,146
MI,145
MI,145
RCB,145
DD,145
DC,145
RR,145
DC,145
CSK,145
DC,145
DD,145
RR,145
KXIP,145
DD,145
SRH,145
RR,145
SRH,145
KKR,145
CSK,145
RR,145
CSK,144
KXIP,144
KXIP,144
DD,144
RR,144
KXIP,144
DD,144
DD,144
RR,144
SRH,144
RR,144
MI,144
SRH,144
RR,144
DD,143
RCB,143
DD,143
RCB,143
MI,143
DC,143
CSK,143
MI,143
PW,143
RR,143
RCB,143
PW,143
DD,143
MI,143
KXIP,143
KKR,143
DD,142
RCB,142
MI,142
MI,142
DC,142
RR,142
KXIP,142
DD,142
CSK,142
RCB,142
CSK,142
MI,142
KKR,142
MI,142
RCB,142
PW,142
CSK,142
KKR,142
RCB,142
SRH,142
SRH,142
MI,142
SRH,142
KXIP,142
MI,142
RR,141
DC,141
CSK,141
RCB,141
RR,141
MI,141
RR,141
PW,141
DC,141
DD,141
DC,141
RR,141
MI,141
KXIP,141
CSK,141
MI,141
MI,141
KKR,141
RR,141
SRH,140
SRH,140
DC,140
RR,140
RCB,140
DD,140
KKR,140
DD,140
KKR,140
CSK,140
CSK,140
KKR,140
SRH,140
SRH,140
MI,140
KXIP,139
KKR,139
KKR,139
DC,139
KKR,139
PW,139
KKR,139
CSK,139
CSK,139
CSK,139
MI,139
DD,139
RCB,139
RCB,139
CSK,139
KXIP,138
MI,138
RR,138
MI,138
CSK,138
RCB,138
DC,138
DC,138
PW,138
KXIP,138
CSK,138
KXIP,138
DD,138
KXIP,137
KKR,137
KXIP,137
RCB,137
KKR,137
RR,137
DC,137
PW,137
DD,137
KKR,137
DD,137
SRH,137
SRH,137
SRH,137
RCB,137
MI,137
SRH,136
RR,136
KKR,136
CSK,136
KXIP,136
KXIP,136
DC,136
PW,136
RCB,136
KXIP,136
KKR,136
DD,136
RCB,136
KKR,136
SRH,136
KXIP,136
DD,136
DD,136
CSK,136
GL,135
GL,135
RCB,135
RCB,135
RCB,135
CSK,135
KKR,135
DC,135
DC,135
DC,135
CSK,135
DD,135
RR,135
RR,135
KXIP,135
SRH,135
GL,135
SRH,135
CSK,135
RCB,134
RCB,134
KXIP,134
DD,134
KKR,134
RCB,134
DD,134
RR,134
KXIP,134
KXIP,134
DD,134
SRH,134
RCB,134
CSK,134
CSK,134
DD,134
DD,133
KKR,133
RCB,133
KXIP,133
DC,133
KKR,133
MI,133
RR,133
MI,133
PW,133
KKR,133
MI,133
SRH,133
RR,133
PW,133
RR,133
DD,132
RCB,132
RCB,132
RCB,132
RR,132
DC,132
KKR,132
DC,132
SRH,132
RR,132
SRH,132
SRH,132
KXIP,132
KKR,132
SRH,132
KKR,131
DC,131
CSK,131
DD,131
RR,131
RR,131
GL,131
RCB,131
RR,130
RCB,130
SRH,130
SRH,130
KKR,130
RR,130
KXIP,130
KXIP,130
SRH,130
CSK,130
MI,129
RR,129
KKR,129
CSK,129
DC,129
RCB,129
PW,129
KKR,129
MI,129
SRH,129
DD,128
SRH,128
PW,128
RCB,128
CSK,128
DC,128
DD,128
KXIP,128
KXIP,127
KKR,127
KKR,127
CSK,127
SRH,127
PW,127
KXIP,127
SRH,127
KXIP,127
RCB,126
MI,126
RCB,126
RR,126
MI,126
KKR,126
DC,126
RR,126
RR,126
RR,126
SRH,126
RR,126
DD,126
PW,126
GL,126
DD,126
DD,126
DD,125
DC,125
MI,125
PW,125
PW,125
KKR,125
CSK,125
MI,125
GL,125
RCB,124
MI,124
KXIP,124
KXIP,124
CSK,124
RCB,124
RCB,124
MI,124
KKR,124
RR,124
KKR,123
KXIP,123
RCB,123
KXIP,123
RCB,123
KXIP,123
RCB,123
RCB,122
MI,122
MI,122
RR,121
RCB,121
KXIP,121
SRH,121
MI,121
DD,121
KXIP,121
SRH,121
DD,120
DD,120
KKR,120
KXIP,120
PW,120
MI,120
CSK,120
KXIP,120
DD,120
DD,120
KXIP,120
RCB,120
RCB,119
KXIP,119
KXIP,119
DC,119
KXIP,119
KXIP,119
KKR,119
DC,119
PW,119
SRH,119
KKR,119
KXIP,119
DD,119
CSK,119
CSK,119
DD,118
DD,118
PW,118
PW,118
KXIP,118
SRH,118
PW,117
RR,117
MI,116
CSK,116
MI,116
MI,116
CSK,116
KXIP,116
KXIP,116
MI,116
KKR,116
RCB,116
CSK,116
DC,115
MI,115
PW,115
CSK,115
SRH,115
RCB,115
MI,115
DD,115
RCB,115
CSK,114
DD,114
DD,114
KKR,114
MI,114
KKR,114
RR,113
DD,113
PW,113
RR,113
SRH,113
DD,113
KKR,112
CSK,112
KXIP,112
RR,112
KXIP,112
CSK,112
KXIP,112
CSK,112
PW,112
MI,111
DD,111
RR,111
DD,111
KKR,111
KXIP,111
DC,110
RR,110
DD,110
CSK,110
CSK,109
KKR,109
DC,109
KKR,109
RR,109
KKR,109
PW,108
MI,108
PW,108
KKR,107
RR,107
PW,106
RCB,106
KXIP,106
RCB,105
RCB,105
KKR,105
MI,104
KXIP,104
DC,104
DC,104
PW,104
GL,104
RR,103
PW,103
KKR,102
PW,102
RR,102
SRH,102
KKR,101
RR,101
MI,101
MI,101
KKR,101
DC,100
DD,100
DC,100
KXIP,100
MI,99
PW,99
RCB,99
KKR,99
DD,99
DC,98
DD,98
RR,97
KKR,97
RCB,96
RCB,96
